CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
82137104,1,1,1,M,30,6,1,L,G,0,"SAN LUIS OBISPO",ATASCADERO,2023
82137104,2,1,1,F,46,6,1,L,G,0,"SAN LUIS OBISPO",ATASCADERO,2023
82270477,1,1,1,M,71,6,1,L,H,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2023
82270477,2,1,1,M,60,6,1,L,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2023
9210465,1,1,1,M,37,4,1,L,B,0,"SAN LUIS OBISPO",ATASCADERO,2020
9226416,2,1,1,F,66,4,1,M,G,0,"SAN LUIS OBISPO","PASO ROBLES",2021
9231381,1,1,1,M,43,2,1,M,G,0,"SAN LUIS OBISPO","PASO ROBLES",2021
9231381,2,1,1,M,62,4,1,M,G,0,"SAN LUIS OBISPO","PASO ROBLES",2021
9276128,1,1,1,M,18,3,1,M,G,0,"SAN LUIS OBISPO",ATASCADERO,2021
9361941,2,1,1,M,58,4,1,M,G,0,"SAN LUIS OBISPO",ATASCADERO,2021
9422698,1,1,2,M,20,0,3,M,G,0,"SAN LUIS OBISPO",ATASCADERO,2022
9422698,2,1,1,F,50,3,1,L,G,0,"SAN LUIS OBISPO",ATASCADERO,2022
8583813,1,1,1,F,27,3,1,M,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2018
8651923,1,1,3,M,58,3,0,P,-,1,"SAN LUIS OBISPO","MORRO BAY",2018
8932246,2,1,1,F,17,4,1,M,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2019
8980398,1,1,1,M,63,3,1,L,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2019
8980398,2,1,2,M,12,0,6,M,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2019
9225215,1,1,1,M,27,4,1,P,W,1,"SAN LUIS OBISPO","MORRO BAY",2021
82270099,1,1,1,F,54,7,1,L,G,0,"SAN LUIS OBISPO","ARROYO GRANDE",2023
82270099,2,1,1,M,77,7,1,M,G,0,"SAN LUIS OBISPO","ARROYO GRANDE",2023
91597509,1,1,1,M,29,7,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2021
91599354,3,1,2,M,15,7,3,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2021
91599354,3,2,1,F,36,7,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2021
92058374,1,1,1,F,19,6,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2023
92110299,1,1,1,F,38,6,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2023
92110299,2,1,1,F,34,6,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2023
91257286,1,1,1,M,25,6,1,P,W,1,"SAN LUIS OBISPO","ARROYO GRANDE",2020
91332627,1,1,1,M,38,5,1,L,H,0,"SAN LUIS OBISPO",UNINCORPORATED,2020
91332627,1,2,2,F,42,6,3,L,H,0,"SAN LUIS OBISPO",UNINCORPORATED,2020
91442906,1,1,1,F,21,7,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2021
91454510,1,1,1,M,42,7,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2021
91454510,2,1,1,F,64,7,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2021
91454510,2,2,2,F,55,5,3,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2021
91454510,2,3,2,F,4,6,4,P,Q,0,"SAN LUIS OBISPO",UNINCORPORATED,2021
91454510,2,4,2,F,51,5,6,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2021
91515845,3,1,1,M,25,7,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2021
91571394,1,1,1,M,34,7,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2021
90786693,1,1,1,F,20,7,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2018
90890821,2,1,1,M,32,6,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2018
90939612,1,1,2,F,44,6,3,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2019
90957686,2,1,1,M,63,5,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2019
91074598,1,1,1,F,26,7,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2019
91253791,1,1,1,M,63,6,1,P,W,1,"SAN LUIS OBISPO",UNINCORPORATED,2020
8546255,1,1,1,F,22,4,1,M,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2018
8546255,2,1,2,M,22,0,3,M,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2018
9007512,1,1,2,F,35,4,3,L,G,0,"SAN LUIS OBISPO","PASO ROBLES",2019
9007512,2,1,2,F,22,0,3,L,G,0,"SAN LUIS OBISPO","PASO ROBLES",2019
9320840,2,1,3,M,57,1,-,-,-,-,"SAN LUIS OBISPO",ATASCADERO,2021
9320840,3,1,1,M,55,3,1,L,G,0,"SAN LUIS OBISPO",ATASCADERO,2021
81809643,2,1,2,F,38,6,3,L,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2022
81809643,2,2,1,M,46,6,1,L,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2022
81915891,1,1,4,M,13,6,1,-,V,1,"SAN LUIS OBISPO","PASO ROBLES",2022
82250837,2,1,1,F,83,7,1,M,G,0,"SAN LUIS OBISPO","ARROYO GRANDE",2023
91891624,1,1,2,F,73,7,3,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2022
91891624,2,1,1,M,68,7,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2022
